Codice,Nome,Città,Provincia,Regione,sezione rifermento
9224019,SEZIONE LUGO,LUGO,RA,EMILIA-ROMAGNA,
9224014,SEZIONE RAVENNA,RAVENNA,RA,EMILIA-ROMAGNA,
9224013,SEZIONE CASTELNOVO NE' MONTI,CASTELNOVO NE' MONTI,RE,EMILIA-ROMAGNA,
9224008,SEZIONE REGGIO EMILIA,REGGIO EMILIA,RE,EMILIA-ROMAGNA,
9200002,ASSOCIAZIONE GUIDE ALPINE ITALIANE,MILANO,MI,EXTRA REGIONE,
9200001,SEZIONE C.A.A.I.,MILANO,MI,EXTRA REGIONE,
9200003,SEZIONE C.N.S.A.S.,MILANO,MI,EXTRA REGIONE,
9222012,SEZIONE MONFALCONE,MONFALCONE,GO,FRIULI-VENEZIA GIULIA,
9222016,SEZIONE CIMOLAIS,CIMOLAIS,PN,FRIULI-VENEZIA GIULIA,
9222015,SEZIONE CLAUT,CLAUT,PN,FRIULI-VENEZIA GIULIA,
9222008,SEZIONE MANIAGO,MANIAGO,PN,FRIULI-VENEZIA GIULIA,
9222006,SEZIONE PORDENONE,PORDENONE,PN,FRIULI-VENEZIA GIULIA,
9222024,SEZIONE SACILE,SACILE,PN,FRIULI-VENEZIA GIULIA,
9222019,SEZIONE S.VITO AL TAGLIAMENTO,SAN VITO AL TAGLIAMENTO,PN,FRIULI-VENEZIA GIULIA,
9222011,SEZIONE XXX OTTOBRE,TRIESTE,TS,FRIULI-VENEZIA GIULIA,
9222026,SEZIONE CERVIGNANO DEL FRIULI,CERVIGNANO DEL FRIULI,UD,FRIULI-VENEZIA GIULIA,
9222014,SEZIONE CIVIDALE DEL FRIULI,CIVIDALE DEL FRIULI,UD,FRIULI-VENEZIA GIULIA,
9222027,SEZIONE CODROIPO,CODROIPO,UD,FRIULI-VENEZIA GIULIA,
9222021,SEZIONE FORNI DI SOPRA,FORNI DI SOPRA,UD,FRIULI-VENEZIA GIULIA,
9222007,SEZIONE GEMONA DEL FRIULI,GEMONA DEL FRIULI,UD,FRIULI-VENEZIA GIULIA,
9222025,SEZIONE MANZANO,MANZANO,UD,FRIULI-VENEZIA GIULIA,
9222013,SEZIONE MOGGIO UDINESE,MOGGIO UDINESE,UD,FRIULI-VENEZIA GIULIA,
9222003,SEZIONE S.A.F.- UDINE,UDINE,UD,FRIULI-VENEZIA GIULIA,
9222002,SEZIONE TOLMEZZO,TOLMEZZO,UD,FRIULI-VENEZIA GIULIA,
9222028,SEZIONE VAL NATISONE,SAN PIETRO AL NATISONE,UD,FRIULI-VENEZIA GIULIA,
9232010,SEZIONE ALATRI,ALATRI,FR,LAZIO,
9232021,SEZIONE APRILIA,APRILIA,LT,LAZIO,
9232006,SEZIONE LATINA,LATINA,LT,LAZIO,
9232019,SEZIONE AMATRICE,AMATRICE,RI,LAZIO,
9232020,SEZIONE ANTRODOCO,ANTRODOCO,RI,LAZIO,
9232022,SEZIONE LEONESSA,LEONESSA,RI,LAZIO,
9232004,SEZIONE RIETI,RIETI,RI,LAZIO,
9232023,SEZIONE MONTEROTONDO,MONTEROTONDO,RM,LAZIO,
9232011,SEZIONE PALESTRINA,PALESTRINA,RM,LAZIO,
9232005,SEZIONE VITERBO,VITERBO,VT,LAZIO,
9210018,SEZIONE BOLZANETO,GENOVA,GE,LIGURIA,
9210012,SEZIONE CHIAVARI,CHIAVARI,GE,LIGURIA,
9210001,SEZIONE LIGURE-GENOVA,GENOVA,GE,LIGURIA,
9210017,SEZIONE RAPALLO,RAPALLO,GE,LIGURIA,
9210019,SEZIONE SAMPIERDARENA,GENOVA,GE,LIGURIA,
9210005,SEZIONE U.L.E. GENOVA,GENOVA,GE,LIGURIA,
9210011,SEZIONE BORDIGHERA,BORDIGHERA,IM,LIGURIA,
9210006,SEZIONE SANREMO,SAN REMO,IM,LIGURIA,
9210004,SEZIONE LA SPEZIA,LA SPEZIA,SP,LIGURIA,
9210013,SEZIONE ALBENGA,ALBENGA,SV,LIGURIA,
9210014,SEZIONE ALTARE,ALTARE,SV,LIGURIA,
9210016,SEZIONE FINALE LIGURE,FINALE LIGURE,SV,LIGURIA,
9210015,SEZIONE LOANO,LOANO,SV,LIGURIA,
9210003,SEZIONE SAVONA,SAVONA,SV,LIGURIA,
9216002,SEZIONE BERGAMO,BERGAMO,BG,LOMBARDIA,
9216132,SEZIONE CLUSONE,CLUSONE,BG,LOMBARDIA,
9216055,SEZIONE LOVERE,LOVERE,BG,LOMBARDIA,
9216135,SEZIONE PIAZZA BREMBANA,PIAZZA BREMBANA,BG,LOMBARDIA,
9216087,SEZIONE ROMANO DI LOMBARDIA,ROMANO DI LOMBARDIA,BG,LOMBARDIA,
9216045,SEZIONE TREVIGLIO,TREVIGLIO,BG,LOMBARDIA,
9216113,SEZIONE BORNO,BORNO,BS,LOMBARDIA,
9216137,SEZIONE BOVEGNO,BOVEGNO,BS,LOMBARDIA,
9216129,SEZIONE BRENO,BRENO,BS,LOMBARDIA,
9216005,SEZIONE BRESCIA,BRESCIA,BS,LOMBARDIA,
9216062,SEZIONE CEDEGOLO,CEDEGOLO,BS,LOMBARDIA,
9216139,SEZIONE COCCAGLIO,COCCAGLIO,BS,LOMBARDIA,
9216136,SEZIONE DESENZANO,DESENZANO DEL GARDA,BS,LOMBARDIA,
9216111,SEZIONE EDOLO,EDOLO,BS,LOMBARDIA,
9216144,SEZIONE LUMEZZANE,LUMEZZANE,BS,LOMBARDIA,
9216010,SEZIONE PALAZZOLO SULL'OGLIO,PALAZZOLO SULL'OGLIO,BS,LOMBARDIA,
9216124,SEZIONE PEZZO PONTEDILEGNO,PONTE DI LEGNO,BS,LOMBARDIA,
9216076,SEZIONE SALÒ,SALÒ,BS,LOMBARDIA,
9216146,SEZIONE VILLA CARCINA,VILLA CARCINA,BS,LOMBARDIA,
9216069,SEZIONE ASSO,ASSO,CO,LOMBARDIA,
9216080,SEZIONE CABIATE,CABIATE,CO,LOMBARDIA,
9216095,SEZIONE CANZO,CANZO,CO,LOMBARDIA,
9216108,SEZIONE CAPIAGO INTIMIANO,CAPIAGO INTIMIANO,CO,LOMBARDIA,
9216116,SEZIONE CERMENATE,CERMENATE,CO,LOMBARDIA,
9216006,SEZIONE COMO,COMO,CO,LOMBARDIA,
9216131,SEZIONE DONGO,DONGO,CO,LOMBARDIA,
9216099,SEZIONE ERBA,ERBA,CO,LOMBARDIA,
9216086,SEZIONE FINO MORNASCO,FINO MORNASCO,CO,LOMBARDIA,
9216091,SEZIONE INVERIGO,INVERIGO,CO,LOMBARDIA,
9216097,SEZIONE MERONE,MERONE,CO,LOMBARDIA,
9216046,SEZIONE MOLTRASIO,MOLTRASIO,CO,LOMBARDIA,
9216141,SEZIONE ROVELLASCA,ROVELLASCA,CO,LOMBARDIA,
9216130,SEZIONE VALLE INTELVI,SAN FEDELE INTELVI,CO,LOMBARDIA,
9216027,SEZIONE CREMA,CREMA,CR,LOMBARDIA,
9216007,SEZIONE CREMONA,CREMONA,CR,LOMBARDIA,
9216102,SEZIONE BELLANO,BELLANO,LC,LOMBARDIA,
9216079,SEZIONE CALCO,CALCO,LC,LOMBARDIA,
9216035,SEZIONE CALOLZIOCORTE,CALOLZIOCORTE,LC,LOMBARDIA,
9216123,SEZIONE COLICO,COLICO,LC,LOMBARDIA,
9216053,SEZIONE DERVIO,DERVIO,LC,LOMBARDIA,
9216110,SEZIONE INTROBIO,INTROBIO,LC,LOMBARDIA,
9216019,SEZIONE MANDELLO LARIO,MANDELLO DEL LARIO,LC,LOMBARDIA,
9216150,SEZIONE MISSAGLIA,MISSAGLIA,LC,LOMBARDIA,
9216093,SEZIONE MONTEVECCHIA,MONTEVECCHIA,LC,LOMBARDIA,
9216143,SEZIONE OGGIONO,OGGIONO,LC,LOMBARDIA,
9216068,SEZIONE ROVAGNATE,ROVAGNATE,LC,LOMBARDIA,
9216071,SEZIONE CODOGNO,CODOGNO,LO,LOMBARDIA,
9216017,SEZIONE LODI,LODI,LO,LOMBARDIA,
9216107,SEZIONE ALBIATE,ALBIATE,MB,LOMBARDIA,
9216090,SEZIONE BARLASSINA,BARLASSINA,MB,LOMBARDIA,
9216073,SEZIONE BESANA BRIANZA,BESANA IN BRIANZA,MB,LOMBARDIA,
9216082,SEZIONE BOVISIO MASCIAGO,BOVISIO MASCIAGO,MB,LOMBARDIA,
9216072,SEZIONE BRUGHERIO,BRUGHERIO,MB,LOMBARDIA,
9216105,SEZIONE CONCOREZZO,CONCOREZZO,MB,LOMBARDIA,
9216011,SEZIONE DESIO,DESIO,MB,LOMBARDIA,
9216039,SEZIONE GIUSSANO,GIUSSANO,MB,LOMBARDIA,
9216040,SEZIONE LISSONE,LISSONE,MB,LOMBARDIA,
9216119,SEZIONE MACHERIO,MACHERIO,MB,LOMBARDIA,
9216008,SEZIONE MONZA,MONZA,MB,LOMBARDIA,
9216142,SEZIONE MUGGIÒ,MUGGIÒ,MB,LOMBARDIA,
9216075,SEZIONE VEDANO AL LAMBRO,VEDANO AL LAMBRO,MB,LOMBARDIA,
9216147,SEZIONE VEDUGGIO,VEDUGGIO CON COLZANO,MB,LOMBARDIA,
9216126,SEZIONE VILLASANTA,VILLASANTA,MB,LOMBARDIA,
9216048,SEZIONE VIMERCATE,VIMERCATE,MB,LOMBARDIA,
9216049,SEZIONE ABBIATEGRASSO,ABBIATEGRASSO,MI,LOMBARDIA,
9216051,SEZIONE CERNUSCO SUL NAVIGLIO,CERNUSCO SUL NAVIGLIO,MI,LOMBARDIA,
9216098,SEZIONE CINISELLO BALSAMO,CINISELLO BALSAMO,MI,LOMBARDIA,
9216038,SEZIONE COLOGNO MONZESE,COLOGNO MONZESE,MI,LOMBARDIA,
9216149,SEZIONE CORNAREDO,CORNAREDO,MI,LOMBARDIA,
9216115,SEZIONE CORSICO,CORSICO,MI,LOMBARDIA,
9216066,SEZIONE GARBAGNATE MILANESE,GARBAGNATE MILANESE,MI,LOMBARDIA,
9216070,SEZIONE GORGONZOLA,GORGONZOLA,MI,LOMBARDIA,
9216083,SEZIONE INZAGO,INZAGO,MI,LOMBARDIA,
9216022,SEZIONE LEGNANO,LEGNANO,MI,LOMBARDIA,
9216109,SEZIONE MELEGNANO,MELEGNANO,MI,LOMBARDIA,
9216003,SEZIONE MILANO,MILANO,MI,LOMBARDIA,
9216100,SEZIONE NERVIANO,NERVIANO,MI,LOMBARDIA,
9216043,SEZIONE NOVATE MILANESE,NOVATE MILANESE,MI,LOMBARDIA,
9216057,SEZIONE PADERNO DUGNANO,PADERNO DUGNANO,MI,LOMBARDIA,
9216021,SEZIONE RHO,RHO,MI,LOMBARDIA,
9216020,SEZIONE SESTO S.GIOVANNI,SESTO SAN GIOVANNI,MI,LOMBARDIA,
9216145,SEZIONE VITTUONE,VITTUONE,MI,LOMBARDIA,
9216140,SEZIONE BOZZOLO,BOZZOLO,MN,LOMBARDIA,
9216025,SEZIONE MANTOVA,MANTOVA,MN,LOMBARDIA,
9216012,SEZIONE PAVIA,PAVIA,PV,LOMBARDIA,
9216013,SEZIONE VIGEVANO,VIGEVANO,PV,LOMBARDIA,
9216024,SEZIONE VOGHERA,VOGHERA,PV,LOMBARDIA,
9216120,SEZIONE LIVIGNO,LIVIGNO,SO,LOMBARDIA,
9216104,SEZIONE MADESIMO,MADESIMO,SO,LOMBARDIA,
9216118,SEZIONE SONDALO,SONDALO,SO,LOMBARDIA,
9216106,SEZIONE VALFURVA,VALFURVA,SO,LOMBARDIA,
9216112,SEZIONE VALMALENCO,CHIESA IN VALMALENCO,SO,LOMBARDIA,
9216001,SEZIONE VALTELLINESE-SONDRIO,SONDRIO,SO,LOMBARDIA,
9216014,SEZIONE BUSTO ARSIZIO,BUSTO ARSIZIO,VA,LOMBARDIA,
9216036,SEZIONE CASTELLANZA,CASTELLANZA,VA,LOMBARDIA,
9216015,SEZIONE GALLARATE,GALLARATE,VA,LOMBARDIA,
9216059,SEZIONE GAVIRATE,GAVIRATE,VA,LOMBARDIA,
9216148,SEZIONE GAZZADA SCHIANNO,GAZZADA SCHIANNO,VA,LOMBARDIA,
9216092,SEZIONE GORLA MINORE,GORLA MINORE,VA,LOMBARDIA,
9216032,SEZIONE LAVENO MOMBELLO,LAVENO MOMBELLO,VA,LOMBARDIA,
9216067,SEZIONE MALNATE,MALNATE,VA,LOMBARDIA,
9216047,SEZIONE OLGIATE OLONA,OLGIATE OLONA,VA,LOMBARDIA,
9216033,SEZIONE SARONNO,SARONNO,VA,LOMBARDIA,
9216065,SEZIONE SOMMA LOMBARDO,SOMMA LOMBARDO,VA,LOMBARDIA,
9216133,SEZIONE TRADATE,TRADATE,VA,LOMBARDIA,
9216009,SEZIONE VARESE,VARESE,VA,LOMBARDIA,
9228001,SEZIONE ANCONA,ANCONA,AN,MARCHE,
9228007,SEZIONE FABRIANO,FABRIANO,AN,MARCHE,
9228003,SEZIONE JESI,JESI,AN,MARCHE,
9228010,SEZIONE AMANDOLA,AMANDOLA,AP,MARCHE,
9228002,SEZIONE ASCOLI PICENO,ASCOLI PICENO,AP,MARCHE,
9228013,SEZIONE S.BENEDETTO DEL TRONTO,S.BENEDETTO DEL TRONTO,AP,MARCHE,
9228004,SEZIONE FERMO,FERMO,FM,MARCHE,
9228005,SEZIONE CAMERINO,CAMERINO,MC,MARCHE,
9228008,SEZIONE MACERATA,MACERATA,MC,MARCHE,
9228014,SEZIONE POTENZA PICENA,PORTO POTENZA PICENA,MC,MARCHE,
9228011,SEZIONE SARNANO,SARNANO,MC,MARCHE,
9228009,SEZIONE S.SEVERINO MARCHE,SAN SEVERINO MARCHE,MC,MARCHE,
9228006,SEZIONE PESARO,PESARO,PU,MARCHE,
9212036,SEZIONE ACQUI TERME,ACQUI TERME,AL,PIEMONTE,
9212017,SEZIONE ALESSANDRIA,ALESSANDRIA,AL,PIEMONTE,
9212068,SEZIONE OVADA,OVADA,AL,PIEMONTE,
9212051,SEZIONE S.SALVATORE MONFERRATO,SAN SALVATORE MONFERRATO,AL,PIEMONTE,
9212057,SEZIONE VALENZA,VALENZA PO,AL,PIEMONTE,
9212005,SEZIONE BIELLA,BIELLA,BI,PIEMONTE,
9212031,SEZIONE BARGE,BARGE,CN,PIEMONTE,
9212081,SEZIONE CERVASCA,SAN DEFENDENTE,CN,PIEMONTE,
9212058,SEZIONE CEVA,CEVA,CN,PIEMONTE,
9212006,SEZIONE CUNEO,CUNEO,CN,PIEMONTE,
9212034,SEZIONE FOSSANO,FOSSANO,CN,PIEMONTE,
9212038,SEZIONE GARESSIO,GARESSIO,CN,PIEMONTE,
9212071,SEZIONE ORMEA,ORMEA,CN,PIEMONTE,
9212046,SEZIONE RACCONIGI,RACCONIGI,CN,PIEMONTE,
9212033,SEZIONE SAVIGLIANO,SAVIGLIANO,CN,PIEMONTE,
9212018,SEZIONE ARONA,ARONA,NO,PIEMONTE,
9212037,SEZIONE GOZZANO,GOZZANO,NO,PIEMONTE,
9212014,SEZIONE NOVARA,NOVARA,NO,PIEMONTE,
9212076,SEZIONE ALA DI STURA,ALA DI STURA,TO,PIEMONTE,
9212061,SEZIONE ALMESE,ALMESE,TO,PIEMONTE,
9212044,SEZIONE ALPIGNANO,ALPIGNANO,TO,PIEMONTE,
9212052,SEZIONE BARDONECCHIA,BARDONECCHIA,TO,PIEMONTE,
9212023,SEZIONE BUSSOLENO,BUSSOLENO,TO,PIEMONTE,
9212082,SEZIONE CARMAGNOLA,CARMAGNOLA,TO,PIEMONTE,
9212026,SEZIONE CASELLE TORINESE,CASELLE TORINESE,TO,PIEMONTE,
9212077,SEZIONE CAVOUR,CAVOUR,TO,PIEMONTE,
9212059,SEZIONE CHIOMONTE,CHIOMONTE,TO,PIEMONTE,
9212013,SEZIONE CHIVASSO,CHIVASSO,TO,PIEMONTE,
9212024,SEZIONE CIRIÉ ,CIRIÉ ,TO,PIEMONTE,
9212063,SEZIONE COAZZE,COAZZE,TO,PIEMONTE,
9212072,SEZIONE CUORGNÈ ,CUORGNÈ ,TO,PIEMONTE,
9212067,SEZIONE FORNO CANAVESE,FORNO CANAVESE,TO,PIEMONTE,
9212043,SEZIONE GIAVENO,GIAVENO,TO,PIEMONTE,
9212008,SEZIONE IVREA,IVREA,TO,PIEMONTE,
9212047,SEZIONE LANZO TORINESE,LANZO TORINESE,TO,PIEMONTE,
9212039,SEZIONE LEINI,LEINI,TO,PIEMONTE,
9212075,SEZIONE ORBASSANO,ORBASSANO,TO,PIEMONTE,
9212066,SEZIONE PIANEZZA,PIANEZZA,TO,PIEMONTE,
9212062,SEZIONE PINASCA,PINASCA,TO,PIEMONTE,
9212009,SEZIONE PINEROLO,PINEROLO,TO,PIEMONTE,
9212078,SEZIONE PINO TORINESE,PINO TORINESE,TO,PIEMONTE,
9212004,SEZIONE SUSA,SUSA,TO,PIEMONTE,
9212001,SEZIONE TORINO,TORINO,TO,PIEMONTE,
9212019,SEZIONE UGET TORINO,TORINO,TO,PIEMONTE,
9212021,SEZIONE UGET VALPELLICE - TORRE PELLICE,TORRE PELLICE,TO,PIEMONTE,
9212065,SEZIONE VAL DELLA TORRE,VAL DELLA TORRE,TO,PIEMONTE,
9212049,SEZIONE VALGERMANASCA,POMARETTO,TO,PIEMONTE,
9212042,SEZIONE VENARIA REALE,VENARIA,TO,PIEMONTE,
9212074,SEZIONE VIGONE,VIGONE,TO,PIEMONTE,
9212053,SEZIONE VOLPIANO,VOLPIANO,TO,PIEMONTE,
9212032,SEZIONE BAVENO,BAVENO,VB,PIEMONTE,
9212003,SEZIONE DOMODOSSOLA,DOMODOSSOLA,VB,PIEMONTE,
9212035,SEZIONE GRAVELLONA TOCE,GRAVELLONA TOCE,VB,PIEMONTE,
9212020,SEZIONE OMEGNA,OMEGNA,VB,PIEMONTE,
9212028,SEZIONE PIEDIMULERA,PIEDIMULERA,VB,PIEMONTE,
9212056,SEZIONE VALLE VIGEZZO,CRAVEGGIA,VB,PIEMONTE,
9212007,SEZIONE VERBANO-VERBANIA,VERBANIA,VB,PIEMONTE,
9212022,SEZIONE VILLADOSSOLA,VILLADOSSOLA,VB,PIEMONTE,
9212002,SEZIONE VARALLO SESIA,VARALLO,VC,PIEMONTE,
9212016,SEZIONE VERCELLI,VERCELLI,VC,PIEMONTE,
9240001,SEZIONE GIOIA DEL COLLE,GIOIA DEL COLLE,BA,PUGLIA,
9240003,SEZIONE FOGGIA,FOGGIA,FG,PUGLIA,
9248001,SEZIONE CAGLIARI,CAGLIARI,CA,SARDEGNA,
9248002,SEZIONE NUORO,NUORO,NU,SARDEGNA,
9248003,SEZIONE SASSARI,SASSARI,SS,SARDEGNA,
9246009,SEZIONE ACIREALE,ACIREALE,CT,SICILIA,
9246010,SEZIONE BELPASSO,BELPASSO,CT,SICILIA,
9246017,SEZIONE BRONTE,BRONTE,CT,SICILIA,
9246001,SEZIONE CATANIA,CATANIA,CT,SICILIA,
9246005,SEZIONE GIARRE,GIARRE,CT,SICILIA,
9246004,SEZIONE LINGUAGLOSSA,LINGUAGLOSSA,CT,SICILIA,
9246015,SEZIONE PEDARA,PEDARA,CT,SICILIA,
9246012,SEZIONE LONGI (sciolta),LONGI,ME,SICILIA,
9246006,SEZIONE MESSINA,MESSINA,ME,SICILIA,
9246018,SEZIONE NOVARA DI SICILIA,NOVARA DI SICILIA,ME,SICILIA,
9246016,SEZIONE CEFALÙ ,CEFALÙ ,PA,SICILIA,
9246002,SEZIONE PALERMO,PALERMO,PA,SICILIA,
9246003,SEZIONE PETRALIA SOTTANA,PETRALIA SOTTANA,PA,SICILIA,
9246007,SEZIONE POLIZZI GENEROSA,POLIZZI GENEROSA,PA,SICILIA,
9246014,SEZIONE RAGUSA,RAGUSA,RG,SICILIA,
9246013,SEZIONE SIRACUSA,SIRACUSA,SR,SICILIA,
9226009,SEZIONE AREZZO,AREZZO,AR,TOSCANA,
9226022,SEZIONE SANSEPOLCRO,SANSEPOLCRO,AR,TOSCANA,
9226023,SEZIONE VALDARNO SUPERIORE,MONTEVARCHI,AR,TOSCANA,
9226001,SEZIONE FIRENZE,FIRENZE,FI,TOSCANA,
9226004,SEZIONE LIVORNO,LIVORNO,LI,TOSCANA,
9226024,SEZIONE BARGA,BARGA,LU,TOSCANA,
9226021,SEZIONE CASTELNUOVO GARFAGNANA,CASTELNUOVO DI GARFAGNANA,LU,TOSCANA,
9226012,SEZIONE FORTE DEI MARMI,VITTORIA APUANA,LU,TOSCANA,
9226005,SEZIONE CARRARA,CARRARA,MS,TOSCANA,
9226019,SEZIONE FIVIZZANO,FIVIZZANO,MS,TOSCANA,
9226017,SEZIONE PONTREMOLI,PONTREMOLI,MS,TOSCANA,
9226003,SEZIONE PISA,PISA,PI,TOSCANA,
9226025,SEZIONE PONTEDERA,PONTEDERA,PI,TOSCANA,
9226008,SEZIONE EMILIO BERTINI-PRATO,PRATO,PO,TOSCANA,
9226026,SEZIONE PESCIA,PESCIA,PT,TOSCANA,
9226002,SEZIONE SIENA,SIENA,SI,TOSCANA,
9219001,SEZIONE APPIANO C.A.I. A.A.,APPIANO SULLA STRADA,BZ,TRENTINO-ALTO ADIGE,
9219002,SEZIONE BOLZANO C.A.I. A.A.,BOLZANO,BZ,TRENTINO-ALTO ADIGE,
9219013,SEZIONE BRENNERO C.A.I. A.A.,BRENNERO,BZ,TRENTINO-ALTO ADIGE,
9219003,SEZIONE BRESSANONE C.A.I. A.A.,BRESSANONE,BZ,TRENTINO-ALTO ADIGE,
9219004,SEZIONE BRONZOLO C.A.I. A.A.,BRONZOLO,BZ,TRENTINO-ALTO ADIGE,
9219006,SEZIONE CHIUSA C.A.I A.A.,CHIUSA,BZ,TRENTINO-ALTO ADIGE,
9219007,SEZIONE EGNA C.A.I. A.A.,EGNA,BZ,TRENTINO-ALTO ADIGE,
9219008,SEZIONE FORTEZZA C.A.I. A.A.,FORTEZZA,BZ,TRENTINO-ALTO ADIGE,
9219015,SEZIONE LAIVES C.A.I. A.A.,LAIVES,BZ,TRENTINO-ALTO ADIGE,
9219014,SEZIONE SALORNO C.A.I. A.A.,SALORNO,BZ,TRENTINO-ALTO ADIGE,
9219011,SEZIONE VAL GARDENA C.A.I.A.A.,SELVA DI VAL GARDENA,BZ,TRENTINO-ALTO ADIGE,
9219012,SEZIONE VIPITENO C.A.I. A.A.,VIPITENO,BZ,TRENTINO-ALTO ADIGE,
9218001,SEZIONE S.A.T.,TRENTO,TN,TRENTINO-ALTO ADIGE,
9230005,SEZIONE CITTÀ DI CASTELLO,CITTÀ DI CASTELLO,PG,UMBRIA,
9230004,SEZIONE FOLIGNO,FOLIGNO,PG,UMBRIA,
9230001,SEZIONE PERUGIA,PERUGIA,PG,UMBRIA,
9230003,SEZIONE TERNI,TERNI,TR,UMBRIA,
9214001,SEZIONE AOSTA,AOSTA,AO,VALLE D'AOSTA,
9214004,SEZIONE CHATILLON,CHATILLON,AO,VALLE D'AOSTA,
9214003,SEZIONE VERRES,VERRES,AO,VALLE D'AOSTA,
9220001,SEZIONE AGORDO,AGORDO,BL,VENETO,
9220006,SEZIONE BELLUNO,BELLUNO,BL,VENETO,
9220035,SEZIONE CALALZO DI CADORE,CALALZO DI CADORE,BL,VENETO,
9220066,SEZIONE CAPRILE,CAPRILE,BL,VENETO,
9220039,SEZIONE DOMEGGE DI CADORE,DOMEGGE DI CADORE,BL,VENETO,
9220013,SEZIONE FELTRE,FELTRE,BL,VENETO,
9220041,SEZIONE LONGARONE,LONGARONE,BL,VENETO,
9220049,SEZIONE LORENZAGO,LORENZAGO DI CADORE,BL,VENETO,
9220043,SEZIONE LOZZO DI CADORE,LOZZO DI CADORE,BL,VENETO,
9220042,SEZIONE VALCOMELICO,COMELICO SUPERIORE FRAZ. CASAMAZZAGNO,BL,VENETO,
9220037,SEZIONE VAL DI ZOLDO,FORNO DI ZOLDO,BL,VENETO,
9220047,SEZIONE VIGO DI CADORE,VIGO DI CADORE,BL,VENETO,
9220048,SEZIONE CAMPOSAMPIERO,CAMPOSAMPIERO,PD,VENETO,
9220020,SEZIONE CITTADELLA,CITTADELLA,PD,VENETO,
9220032,SEZIONE ESTE,ESTE,PD,VENETO,
9220023,SEZIONE ROVIGO,ROVIGO,RO,VENETO,
9220038,SEZIONE TRECENTA,LENDINARA,RO,VENETO,
9220053,SEZIONE FIAMME GIALLE,PREDAZZO,TN,VENETO,
9220054,SEZIONE PIEVE DI SOLIGO,PIEVE DI SOLIGO,TV,VENETO,
9220058,SEZIONE PONTE PIAVE SALGAREDA,PONTE DI PIAVE,TV,VENETO,
9220056,SEZIONE SPRESIANO,SPRESIANO,TV,VENETO,
9220009,SEZIONE TREVISO,TREVISO,TV,VENETO,
9220030,SEZIONE PORTOGRUARO,PORTOGRUARO,VE,VENETO,
9220036,SEZIONE SAN DONÀ DI PIAVE,SAN DONÀ DI PIAVE,VE,VENETO,
